学校类型,等级1,人均总用地,人均校舍用地,人均体育用地,等级2,人均建筑面积
综合一类,0-5000-10000,45-51-54,30-33-36,08-11-11,5000-8000-10000,24.56-23.52-22.49 
工业类,0-5000-10000,48-53-56,33-35-38,08-11-11,5000-8000-10000,26.38-25-24.29 
财经、政法、管理类,0-5000-10000,45-51-54,30-33-36,08-11-11,5000-8000-10000,21.85-20.69-20.07 
体育类,0-5000-10000,55-61-69,43-39-43,15-17-24,1000-2000-3000,31.28-29.21-28.08
综合二类、师范类,0-5000-10000,45-51-54,30-33-36,08-11-11,5000-8000-10000,25.68-24.18-23.40 
农林、医药类,0-5000-10000,48-53-56,33-35-38,08-11-11,5000-8000-10000,26.15-24.75-24.04
外语类,0-5000-10000,45-51-54,30-33-36,08-11-11,5000-8000-10000,22.63-21.39-20.74
艺术类,0-5000-10000,55-61-69,43-39-43,15-17-24,1000-2000-3000,35.25-31.54-29.27
,,,,,,
,,,,,,
